16
1	104	38	0	Spot
1	107	14	0	Spot
1	116	66	0	Spot
1	87	40	0	Spot
1	68	9	0	Spot
1	60	68	0	Spot
1	21	53	0	Spot
1	32	24	0	Spot
1	152	11	0	Spot
1	201	33	0	Spot
1	240	26	0	Spot
1	231	56	0	Spot
1	200	52	0	Spot
1	168	65	0	Spot
1	151	101	0	Spot
1	112	138	0	Spot
1	78	109	0	Spot
1	194	153	0	Spot
1	238	110	0	Spot
1	240	150	0	Spot
1	207	189	0	Spot
1	240	214	0	Spot
1	171	214	0	Spot
1	172	186	0	Spot
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
