16
4	121	102	0	Leina the General Goods Merchan
4	117	126	0	Weapons Merchant Bolo
4	153	130	0	Lumen the Barmaid
1	177	34	0	Spot
1	92	71	0	Spot
1	120	43	0	Spot
1	162	100	0	Spot
1	93	111	0	Spot
1	79	89	0	Spot
1	213	193	0	Spot
1	157	156	0	Spot
1	143	151	0	Spot
1	61	180	0	Spot
1	67	68	0	Spot
1	40	180	0	Spot
1	29	64	0	Spot
1	42	104	0	Spot
1	217	43	0	Spot
1	210	18	0	Spot
1	227	96	0	Spot
1	174	163	0	Spot
1	181	118	0	Spot
1	63	124	0	Spot
1	213	85	0	Spot
1	197	57	0	Spot
1	164	53	0	Spot
1	221	152	0	Spot
1	98	188	0	Spot
1	90	162	0	Spot
1	91	163	0	Spot
1	36	136	0	Spot
1	43	77	0	Spot
1	54	155	0	Spot
1	24	155	0	Spot
1	149	170	0	Spot
1	184	177	0	Spot
1	202	172	0	Spot
1	191	153	0	Spot
1	229	173	0	Spot
1	208	110	0	Spot
1	184	91	0	Spot
1	167	78	0	Spot
1	144	75	0	Spot
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
