16
1	139	136	0	Spot
1	176	27	0	Spot
1	206	25	0	Spot
1	218	61	0	Spot
1	211	94	0	Spot
1	210	122	0	Spot
1	205	154	0	Spot
1	180	65	0	Spot
1	121	52	0	Spot
1	74	40	0	Spot
1	55	56	0	Spot
1	82	98	0	Spot
1	65	86	0	Spot
1	60	137	0	Spot
1	62	174	0	Spot
1	100	88	0	Spot
1	141	57	0	Spot
1	154	35	0	Spot
1	104	57	0	Spot
1	105	119	0	Spot
1	142	109	0	Spot
1	211	47	0	Spot
1	79	60	0	Spot
1	127	83	0	Spot
1	153	84	0	Spot
1	135	159	0	Spot
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
