16
4	122	135	0	Doorkeeper Titus
1	140	74	0	Spot
1	155	51	0	Spot
1	147	15	0	Spot
1	191	14	0	Spot
1	208	26	0	Spot
1	179	66	0	Spot
1	212	47	0	Spot
1	232	56	0	Spot
1	176	107	0	Spot
1	196	108	0	Spot
1	216	112	0	Spot
1	212	132	0	Spot
1	180	171	0	Spot
1	233	202	0	Spot
1	216	224	0	Spot
1	174	226	0	Spot
1	154	200	0	Spot
1	131	214	0	Spot
1	98	214	0	Spot
1	80	198	0	Spot
1	44	223	0	Spot
1	36	199	0	Spot
1	87	178	0	Spot
1	63	160	0	Spot
1	56	136	0	Spot
1	29	174	0	Spot
1	31	131	0	Spot
1	40	84	0	Spot
1	29	58	0	Spot
1	32	40	0	Spot
1	43	15	0	Spot
1	73	21	0	Spot
1	95	23	0	Spot
1	78	40	0	Spot
1	59	71	0	Spot
1	73	85	0	Spot
1	112	62	0	Spot
1	113	84	0	Spot
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
0	0	0	0		
