//Id   ClassCode   Group   ReqPoints   MaxLevel   Direction   ReqSkill1   ReqSkill2   Skill   DefValue   
1    1           0       1           20         4           0           0           300     12.040000  
4    1           0       1           20         0           0           0           301     614.000000 
6    1           0       1           20         3           0           0           302     511.000000 
7    1           0       1           20         3           0           0           303     1.810000   
8    1           0       1           20         3           0           0           304     1.200000   
9    1           0       1           20         4           300         0           305     12.040000  
10   1           0       1           20         0           302         0           306     1.200000   
11   1           0       1           20         3           303         0           307     1.200000   
12   1           0       1           20         3           304         0           308     1.200000   
14   1           0       1           20         3           0           0           309     60.000000  
15   1           0       1           20         0           307         0           310     1.200000   
16   1           0       1           20         0           308         0           311     1.200000   
17   1           0       1           20         0           305         0           312     12.040000  
18   1           0       1           20         0           309         0           313     1.200000   
23   1           0       1           20         1           0           0           315     6.000000   
24   1           0       1           20         0           315         0           316     1.000000   
25   1           0       1           20         0           0           0           317     12.000000  
26   1           0       1           20         0           0           0           318     12.000000  
27   1           0       1           20         0           0           0           319     12.000000  
28   1           0       1           20         0           0           0           320     12.000000  
30   1           0       1           20         3           0           0           322     12.000000  
34   1           0       1           20         0           322         0           324     12.000000  
37   1           1       1           20         0           0           0           325     511.000000 
41   1           1       1           20         0           0           0           326     6.000000   
42   1           1       1           20         0           0           0           327     8.000000   
43   1           1       1           20         0           0           0           328     8.000000   
44   1           1       1           20         0           0           0           329     8.000000   
45   1           1       1           20         3           0           0           330     8.000000   
46   1           1       1           20         3           0           0           331     5.000000   
49   1           1       1           20         0           330         0           332     1.200000   
50   1           1       1           20         0           331         0           333     1.200000   
51   1           1       1           20         3           0           0           334     102.000000 
52   1           1       1           20         0           0           0           335     5.000000   
53   1           1       1           20         3           0           0           336     5.000000   
54   1           1       1           20         3           0           0           337     5.000000   
55   1           1       1           20         3           334         0           338     102.000000 
57   1           1       1           20         3           336         0           339     1.810000   
58   1           1       1           20         3           337         0           340     1.810000   
59   1           1       1           20         0           338         0           341     27.000000  
61   1           1       1           20         0           339         0           342     1.810000   
62   1           1       1           20         0           340         0           343     1.200000   
65   1           1       1           20         0           0           0           345     1.810000   
66   0           1       10          10         3           0           0           344     1.810000   
70   0           1       10          10         0           344         0           346     1.810000   
73   1           2       1           20         0           0           0           347     818.000000 
77   1           2       1           20         3           0           0           348     8.000000   
78   1           2       1           20         3           0           0           349     5.000000   
79   1           2       1           20         3           0           0           350     6.000000   
80   1           2       1           20         3           0           0           351     6.000000   
81   1           2       1           20         0           348         0           352     11.000000  
82   1           2       1           10         0           349         0           353     1.000000   
83   1           2       1           20         0           350         0           354     1.200000   
84   1           2       1           20         0           351         0           355     1.200000   
85   1           2       1           20         3           0           0           356     1.810000   
86   1           2       1           20         0           0           0           357     7.220000   
87   1           2       1           20         0           0           0           358     9.000000   
88   1           2       1           20         3           0           0           359     43.000000  
89   1           2       1           20         3           356         0           360     1.810000   
90   1           2       1           20         3           0           0           361     5.000000   
92   1           2       1           20         0           359         0           362     43.000000  
93   1           2       1           20         0           360         0           363     1.810000   
94   1           2       1           20         0           361         0           364     6.000000   
96   1           2       1           20         3           0           0           366     1.000000   
97   1           2       1           20         0           0           0           367     1.000000   
98   1           2       1           20         3           0           0           368     1.000000   
99   1           2       1           20         4           0           0           628     5.000000   
100  1           2       1           20         0           366         0           369     1.000000   
102  1           2       1           20         0           368         0           372     1.000000   
104  1           2       1           20         3           0           0           370     1.000000   
1    2           0       1           20         4           0           0           300     12.040000  
4    2           0       1           20         0           0           0           301     614.000000 
6    2           0       1           20         3           0           0           302     511.000000 
7    2           0       1           20         3           0           0           303     1.810000   
8    2           0       1           20         3           0           0           304     1.200000   
9    2           0       1           20         4           300         0           305     12.040000  
10   2           0       1           20         0           302         0           306     1.200000   
11   2           0       1           20         3           303         0           307     1.200000   
12   2           0       1           20         3           304         0           308     1.200000   
14   2           0       1           20         3           0           0           309     60.000000  
15   2           0       1           20         0           307         0           310     1.200000   
16   2           0       1           20         0           308         0           311     1.200000   
17   2           0       1           20         0           305         0           312     12.040000  
18   2           0       1           20         0           309         0           313     1.200000   
23   2           0       1           20         1           0           0           315     6.000000   
24   2           0       1           20         0           315         0           316     1.000000   
25   2           0       1           20         0           0           0           317     12.000000  
26   2           0       1           20         0           0           0           318     12.000000  
27   2           0       1           20         0           0           0           319     12.000000  
28   2           0       1           20         0           0           0           320     12.000000  
30   2           0       1           20         3           0           0           375     12.000000  
34   2           0       1           20         0           375         0           377     12.000000  
37   2           1       1           20         0           0           0           325     511.000000 
41   2           1       1           20         3           0           0           378     8.000000   
42   2           1       1           20         3           0           0           379     8.000000   
43   2           1       1           20         3           0           0           380     1.200000   
45   2           1       1           20         0           378         0           381     5.000000   
46   2           1       1           20         0           379         0           382     8.000000   
47   2           1       1           20         0           380         0           383     1.200000   
48   2           1       1           20         3           0           0           384     6.000000   
49   2           1       1           20         1           0           0           385     6.000000   
50   2           1       1           20         0           385         0           386     5.000000   
51   2           1       1           20         3           0           0           334     102.000000 
52   2           1       1           20         0           384         0           387     5.000000   
54   2           1       1           20         0           0           0           388     5.000000   
55   2           1       1           20         3           334         0           338     102.000000 
56   2           1       1           20         3           0           0           389     6.000000   
57   2           1       1           20         4           0           0           390     8.000000   
59   2           1       1           20         0           338         0           341     27.000000  
